player,first,last,name,position1,2000-game1,2000-game2,2000-game3,2000-game4,2000-game5,2000-game6,2000-game7,2000-game8,2000-game9,2000-game10,2000-game11,2000-game12,2000-game13,2000-game14,2000-game15,2000-game16,2001-game1,2001-game2,2001-game3,2001-game4,2001-game5,2001-game6,2001-game7,2001-game8,2001-game9,2001-game10,2001-game11,2001-game12,2001-game13,2001-game14,2001-game15,2001-game16,2002-game1,2002-game2,2002-game3,2002-game4,2002-game5,2002-game6,2002-game7,2002-game8,2002-game9,2002-game10,2002-game11,2002-game12,2002-game13,2002-game14,2002-game15,2002-game16,2003-game1,2003-game2,2003-game3,2003-game4,2003-game5,2003-game6,2003-game7,2003-game8,2003-game9,2003-game10,2003-game11,2003-game12,2003-game13,2003-game14,2003-game15,2003-game16,2004-game1,2004-game2,2004-game3,2004-game4,2004-game5,2004-game6,2004-game7,2004-game8,2004-game9,2004-game10,2004-game11,2004-game12,2004-game13,2004-game14,2004-game15,2004-game16,2005-game1,2005-game2,2005-game3,2005-game4,2005-game5,2005-game6,2005-game7,2005-game8,2005-game9,2005-game10,2005-game11,2005-game12,2005-game13,2005-game14,2005-game15,2005-game16,2006-game1,2006-game2,2006-game3,2006-game4,2006-game5,2006-game6,2006-game7,2006-game8,2006-game9,2006-game10,2006-game11,2006-game12,2006-game13,2006-game14,2006-game15,2006-game16,2007-game1,2007-game2,2007-game3,2007-game4,2007-game5,2007-game6,2007-game7,2007-game8,2007-game9,2007-game10,2007-game11,2007-game12,2007-game13,2007-game14,2007-game15,2007-game16,2008-game1,2008-game2,2008-game3,2008-game4,2008-game5,2008-game6,2008-game7,2008-game8,2008-game9,2008-game10,2008-game11,2008-game12,2008-game13,2008-game14,2008-game15,2008-game16,2009-game1,2009-game2,2009-game3,2009-game4,2009-game5,2009-game6,2009-game7,2009-game8,2009-game9,2009-game10,2009-game11,2009-game12,2009-game13,2009-game14,2009-game15,2009-game16,2010-game1,2010-game2,2010-game3,2010-game4,2010-game5,2010-game6,2010-game7,2010-game8,2010-game9,2010-game10,2010-game11,2010-game12,2010-game13,2010-game14,2010-game15,2010-game16,2011-game1,2011-game2,2011-game3,2011-game4,2011-game5,2011-game6,2011-game7,2011-game8,2011-game9,2011-game10,2011-game11,2011-game12,2011-game13,2011-game14,2011-game15,2011-game16,2012-game1,2012-game2,2012-game3,2012-game4,2012-game5,2012-game6,2012-game7,2012-game8,2012-game9,2012-game10,2012-game11,2012-game12,2012-game13,2012-game14,2012-game15,2012-game16,2013-game1,2013-game2,2013-game3,2013-game4,2013-game5,2013-game6,2013-game7,2013-game8,2013-game9,2013-game10,2013-game11,2013-game12,2013-game13,2013-game14,2013-game15,2013-game16,2014-game1,2014-game2,2014-game3,2014-game4,2014-game5,2014-game6,2014-game7,2014-game8,2014-game9,2014-game10,2014-game11,2014-game12,2014-game13,2014-game14,2014-game15,2014-game16,2015-game1,2015-game2,2015-game3,2015-game4,2015-game5,2015-game6,2015-game7,2015-game8,2015-game9,2015-game10,2015-game11,2015-game12,2015-game13,2015-game14,2015-game15,2015-game16,2016-game1,2016-game2,2016-game3,2016-game4,2016-game5,2016-game6,2016-game7,2016-game8,2016-game9,2016-game10,2016-game11,2016-game12,2016-game13,2016-game14,2016-game15,2016-game16,2017-game1,2017-game2,2017-game3,2017-game4,2017-game5,2017-game6,2017-game7,2017-game8,2017-game9,2017-game10,2017-game11,2017-game12,2017-game13,2017-game14,2017-game15,2017-game16,2018-game1,2018-game2,2018-game3,2018-game4,2018-game5,2018-game6,2018-game7,2018-game8,2018-game9,2018-game10,2018-game11,2018-game12,2018-game13,2018-game14,2018-game15,2018-game16,2019-game1,2019-game2,2019-game3,2019-game4,2019-game5,2019-game6,2019-game7,2019-game8,2019-game9,2019-game10,2019-game11,2019-game12,2019-game13,2019-game14,2019-game15,2019-game16
Michael Badgley,Michael,Badgley,Michael Badgley,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,12,9,5,17,3,4,3,19,2,0,0,0,0,16,6,10,9,10,5,5,3,0,0,0,0,0,0,0,0
Dan Bailey,Dan,Bailey,Dan Bailey,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,21,13,11,12,1,12,15,9,8,9,12,7,1,2,6,1,10,4,13,14,8,7,8,12,13,8,9,11,8,5,13,14,7,3,12,7,5,17,11,5,6,7,4,24,6,12,5,19,11,10,9,15,8,5,7,9,7,4,11,9,6,14,9,8,4,8,8,9,14,11,9,6,7,15,1,12,0,0,17,9,8,6,4,13,12,5,14,9,8,5,1,15,6,8,15,4,6,8,2,8,6,9,16,0,0,0,0,0,0,0,12,13,10,14,2,6,6,6,4,1,11,9,5,0,0,0,4,4,12,16,8,6,16,5,8,3,7,10,16,4,13,9
Chris Boswell,Chris,Boswell,Chris Boswell,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,7,4,12,10,11,16,18,11,0,0,0,0,0,0,9,7,4,5,8,1,12,2,6,10,4,9,23,7,3,6,3,16,5,9,9,5,19,8,7,19,7,11,19,8,10,4,3,3,6,6,5,8,8,5,12,2,6,7,3,6,9,0,3,9,9,10,12,6,11,16,5,1,11,8,11,5,5,4
Matt Bryant,Matt,Bryant,Matt Bryant,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,10,1,3,4,3,6,1,14,2,11,10,13,8,4,13,6,6,5,4,7,1,1,1,4,6,0,0,0,0,0,5,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,13,9,5,2,4,14,4,8,12,10,5,0,3,6,3,2,14,4,2,4,8,5,3,7,8,10,1,0,6,7,6,8,2,8,5,13,5,7,14,9,2,13,7,12,8,6,9,12,7,9,8,10,11,13,9,11,5,4,7,6,1,11,4,9,8,0,0,0,0,0,0,0,0,0,0,0,10,11,10,11,8,5,8,10,10,15,9,4,7,10,2,8,7,5,7,16,2,7,13,7,11,11,6,4,7,11,12,9,17,10,3,14,8,14,13,15,9,14,6,14,2,10,7,5,5,7,13,12,4,7,7,4,6,10,7,11,3,11,6,9,18,4,8,4,8,11,1,3,15,15,8,18,9,8,15,3,17,7,7,6,8,3,4,8,11,3,0,0,0,0,0,0,10,9,9,14,12,6,13,10,16,11,9,12,6,14,20,8,12,14,14,5,7,1,14,7,11,11,11,10,10,8,8,19,8,8,3,14,6,13,17,5,5,2,10,6,11,0,0,0,8,6,5,6,10,6,7,0,0,0,0,0,0,0,0,0
Randy Bullock,Randy,Bullock,Randy Bullock,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,9,4,7,12,7,7,13,7,8,8,4,8,4,6,13,5,16,5,4,11,13,3,14,7,9,11,6,19,3,7,6,7,5,6,9,11,14,8,9,0,0,0,0,0,0,2,11,8,5,9,0,0,0,0,0,0,0,0,0,0,0,9,7,8,8,2,6,2,2,13,9,1,1,16,7,0,0,11,11,3,7,11,3,4,8,2,3,2,4,11,12,6,8,8,5,6,3,12,5,5,4,8,5,4,9,15,8,9,11
Harrison Butker,Harrison,Butker,Harrison Butker,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,21,8,14,21,5,9,5,7,17,14,18,9,3,0,0,9,6,8,9,13,18,9,6,7,10,9,12,9,4,13,5,17,4,10,11,7,7,12,6,18,16,7,10,13,10,10,8
Daniel Carlson,Daniel,Carlson,Daniel Carlson,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,4,3,7,12,6,12,7,13,11,5,0,0,0,0,6,4,2,7,7,7,7,7,9,5,4,3,3,10,7,9
Mason Crosby,Mason,Crosby,Mason Crosby,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,7,12,8,5,7,17,10,8,13,12,9,19,1,10,7,12,10,3,8,11,10,10,11,16,3,12,3,10,5,7,9,7,13,5,15,7,8,4,6,12,10,9,7,4,14,7,12,11,5,4,9,9,4,11,9,8,5,11,4,9,9,4,6,12,9,7,15,6,18,10,9,5,9,8,17,2,5,9,2,14,7,4,3,6,14,6,7,6,4,12,11,3,14,13,4,8,13,20,16,7,15,8,7,9,8,6,11,9,7,9,4,13,1,10,6,10,8,12,15,10,7,14,15,8,9,4,7,16,9,5,6,9,6,3,5,22,9,3,4,12,0,0,9,2,11,12,11,9,6,8,7,6,9,3,8,12,9,7,6,9,5,5,4,6,5,14,4,8,3,6,4,0,0,0,7,19,6,14,4,17,12,5,7,6,5,5,13,12,13,0,4,3,11,9,10,12,6,7,5,7,8,8,3,10,12,4
Jake Elliott,Jake,Elliott,Jake Elliott,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,19,10,11,13,10,10,1,8,4,14,10,8,11,8,4,3,8,11,7,10,6,6,10,1,11,10,5,15,9,6,6,7,6,4,7,11,4,5,10,5,3,13,5,7,5,12
Ka'imi Fairbairn,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,16,18,2,6,8,2,1,7,10,8,6,1,10,0,9,5,12,14,13,8,10,6,8,13,12,21,3,22,6,8,4,7,3,4,13,6,12,10,11,1,8,4,8,6,11,2
